Year of arrival at port of disembarkation,Voyage ID,Vessel name,Voyage itinerary imputed principal place of slave purchase (mjbyptimp) ,Voyage itinerary imputed principal port of slave disembarkation (mjslptimp) place,VOYAGEID2,Captives arrived at 1st port,Captain's name
1862,183730,S Maria,Santos,Rio de Janeiro,,8,"Ferreira, J.S."
1862,183731,Maria Amália,Macaé,Rio de Janeiro,,1,"Valença, João José de Oliveira"
1862,183732,Minerva,Macaé,Rio de Janeiro,,2,"Santos, Manoel dos"
1862,183733,S Pedro,Santos,Rio de Janeiro,,9,"Cunha, Pereira da"
1862,183734,Tocantins,Montevideo,Rio de Janeiro,,2,"Duarte, Pedro Hipólito"
1862,183735,Lealdade,Mangaratiba,Rio de Janeiro,,2,"Costa, Francisco da"
1862,183736,Pedro II,Santos,Rio de Janeiro,,4,"Machado, Lourenço"
1862,183737,Céres,Campos,Rio de Janeiro,,5,"Bloem, José Maria de Albuquerque"
1862,183738,Cruzeiro do Sul,Portos do Norte,Rio de Janeiro,,35,"Mancebo, Gervásio"
1862,183739,Imperador,Santa Catarina,Rio de Janeiro,,1,"Maciel, Joaquim Antônio da Silveira"
1862,183740,Diligente,Campos,Rio de Janeiro,,6,"Gomes, Carlos Antônio"
1862,183741,Capuã,"Pernambuco, place unspecified",Rio de Janeiro,,5,"Rosa, Teotónio José da Silva"
1862,183742,Darque,"Bahia, place unspecified",Rio de Janeiro,,11,"Batista, Antônio da Cruz"
1862,183743,S Maria,Santos,Rio de Janeiro,,12,"Ferreira, Joaquim da Silva"
1862,183744,Amizade Constante,Campos,Rio de Janeiro,,1,"Machado, José da Silva"
1862,183745,Céres,Macaé,Rio de Janeiro,,1,"Bloem, José Maria de Albuquerque"
1862,183746,D Afonso,Parati,Rio de Janeiro,,1,"Meireles, José Camilo de"
1862,183747,Estrela do Norte,Itabapoana,Rio de Janeiro,,1,"Santos, José Raimundo dos"
1862,183748,Mensageiro,Rio Grande,Rio de Janeiro,,3,"Tourelle, Firmino Maria"
1862,183749,Duque do Porto,Cabo Frio,Rio de Janeiro,,1,"Santos, João José dos"
1862,183750,Mercúrio,Macaé,Rio de Janeiro,,1,"Valença, Francisco José de Oliveira"
1862,183751,Paraíba,Campos,Rio de Janeiro,,1,"Santos, José Antônio dos"
1862,183752,Silva,Rio São Francisco do Sul,Rio de Janeiro,,1,"Silva, Joaquim Dias da"
